isodate,entidad,delito,total
2015-01-01,Nacional,Homicidio doloso,1354
2015-02-01,Nacional,Homicidio doloso,1388
2015-03-01,Nacional,Homicidio doloso,1379
2015-04-01,Nacional,Homicidio doloso,1442
2015-05-01,Nacional,Homicidio doloso,1601
2015-06-01,Nacional,Homicidio doloso,1466
2015-07-01,Nacional,Homicidio doloso,1539
2015-08-01,Nacional,Homicidio doloso,1674
2015-09-01,Nacional,Homicidio doloso,1503
2015-10-01,Nacional,Homicidio doloso,1464
2015-11-01,Nacional,Homicidio doloso,1580
2015-12-01,Nacional,Homicidio doloso,1494
2015-01-01,Nacional,Homicidio culposo,1494
2015-02-01,Nacional,Homicidio culposo,1443
2015-03-01,Nacional,Homicidio culposo,1435
2015-04-01,Nacional,Homicidio culposo,1411
2015-05-01,Nacional,Homicidio culposo,1538
2015-06-01,Nacional,Homicidio culposo,1326
2015-07-01,Nacional,Homicidio culposo,1400
2015-08-01,Nacional,Homicidio culposo,1412
2015-09-01,Nacional,Homicidio culposo,1322
2015-10-01,Nacional,Homicidio culposo,1409
2015-11-01,Nacional,Homicidio culposo,1423
2015-12-01,Nacional,Homicidio culposo,1491
2015-01-01,Nacional,Lesiones dolosas,11178
2015-02-01,Nacional,Lesiones dolosas,11597
2015-03-01,Nacional,Lesiones dolosas,12644
2015-04-01,Nacional,Lesiones dolosas,13423
2015-05-01,Nacional,Lesiones dolosas,14165
2015-06-01,Nacional,Lesiones dolosas,13649
2015-07-01,Nacional,Lesiones dolosas,12968
2015-08-01,Nacional,Lesiones dolosas,13175
2015-09-01,Nacional,Lesiones dolosas,13315
2015-10-01,Nacional,Lesiones dolosas,13456
2015-11-01,Nacional,Lesiones dolosas,12323
2015-12-01,Nacional,Lesiones dolosas,11565
2015-01-01,Nacional,Lesiones culposas,5303
2015-02-01,Nacional,Lesiones culposas,5663
2015-03-01,Nacional,Lesiones culposas,6601
2015-04-01,Nacional,Lesiones culposas,6398
2015-05-01,Nacional,Lesiones culposas,6827
2015-06-01,Nacional,Lesiones culposas,6327
2015-07-01,Nacional,Lesiones culposas,6309
2015-08-01,Nacional,Lesiones culposas,6367
2015-09-01,Nacional,Lesiones culposas,6549
2015-10-01,Nacional,Lesiones culposas,6692
2015-11-01,Nacional,Lesiones culposas,6244
2015-12-01,Nacional,Lesiones culposas,6584
2015-01-01,Nacional,Feminicidio,33
2015-02-01,Nacional,Feminicidio,30
2015-03-01,Nacional,Feminicidio,33
2015-04-01,Nacional,Feminicidio,36
2015-05-01,Nacional,Feminicidio,28
2015-06-01,Nacional,Feminicidio,28
2015-07-01,Nacional,Feminicidio,37
2015-08-01,Nacional,Feminicidio,40
2015-09-01,Nacional,Feminicidio,44
2015-10-01,Nacional,Feminicidio,48
2015-11-01,Nacional,Feminicidio,31
2015-12-01,Nacional,Feminicidio,40
2015-01-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,286
2015-02-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,358
2015-03-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,477
2015-04-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,409
2015-05-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,246
2015-06-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,234
2015-07-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,251
2015-08-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,284
2015-09-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,348
2015-10-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,303
2015-11-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,271
2015-12-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,225
2015-01-01,Nacional,Secuestro,111
2015-02-01,Nacional,Secuestro,143
2015-03-01,Nacional,Secuestro,90
2015-04-01,Nacional,Secuestro,107
2015-05-01,Nacional,Secuestro,117
2015-06-01,Nacional,Secuestro,127
2015-07-01,Nacional,Secuestro,95
2015-08-01,Nacional,Secuestro,79
2015-09-01,Nacional,Secuestro,108
2015-10-01,Nacional,Secuestro,98
2015-11-01,Nacional,Secuestro,111
2015-12-01,Nacional,Secuestro,126
2015-01-01,Nacional,Tráfico de menores,10
2015-02-01,Nacional,Tráfico de menores,10
2015-03-01,Nacional,Tráfico de menores,12
2015-04-01,Nacional,Tráfico de menores,12
2015-05-01,Nacional,Tráfico de menores,7
2015-06-01,Nacional,Tráfico de menores,8
2015-07-01,Nacional,Tráfico de menores,9
2015-08-01,Nacional,Tráfico de menores,7
2015-09-01,Nacional,Tráfico de menores,3
2015-10-01,Nacional,Tráfico de menores,12
2015-11-01,Nacional,Tráfico de menores,7
2015-12-01,Nacional,Tráfico de menores,5
2015-01-01,Nacional,Rapto,27
2015-02-01,Nacional,Rapto,35
2015-03-01,Nacional,Rapto,26
2015-04-01,Nacional,Rapto,22
2015-05-01,Nacional,Rapto,40
2015-06-01,Nacional,Rapto,31
2015-07-01,Nacional,Rapto,33
2015-08-01,Nacional,Rapto,36
2015-09-01,Nacional,Rapto,33
2015-10-01,Nacional,Rapto,23
2015-11-01,Nacional,Rapto,32
2015-12-01,Nacional,Rapto,35
2015-01-01,Nacional,Otros delitos que atentan contra la libertad personal,1091
2015-02-01,Nacional,Otros delitos que atentan contra la libertad personal,916
2015-03-01,Nacional,Otros delitos que atentan contra la libertad personal,1067
2015-04-01,Nacional,Otros delitos que atentan contra la libertad personal,1080
2015-05-01,Nacional,Otros delitos que atentan contra la libertad personal,1080
2015-06-01,Nacional,Otros delitos que atentan contra la libertad personal,1004
2015-07-01,Nacional,Otros delitos que atentan contra la libertad personal,1222
2015-08-01,Nacional,Otros delitos que atentan contra la libertad personal,1194
2015-09-01,Nacional,Otros delitos que atentan contra la libertad personal,1226
2015-10-01,Nacional,Otros delitos que atentan contra la libertad personal,1146
2015-11-01,Nacional,Otros delitos que atentan contra la libertad personal,1185
2015-12-01,Nacional,Otros delitos que atentan contra la libertad personal,1015
2015-01-01,Nacional,Extorsión,444
2015-02-01,Nacional,Extorsión,562
2015-03-01,Nacional,Extorsión,532
2015-04-01,Nacional,Extorsión,571
2015-05-01,Nacional,Extorsión,569
2015-06-01,Nacional,Extorsión,538
2015-07-01,Nacional,Extorsión,535
2015-08-01,Nacional,Extorsión,491
2015-09-01,Nacional,Extorsión,484
2015-10-01,Nacional,Extorsión,543
2015-11-01,Nacional,Extorsión,472
2015-12-01,Nacional,Extorsión,482
2015-01-01,Nacional,Corrupción de menores,188
2015-02-01,Nacional,Corrupción de menores,196
2015-03-01,Nacional,Corrupción de menores,217
2015-04-01,Nacional,Corrupción de menores,176
2015-05-01,Nacional,Corrupción de menores,195
2015-06-01,Nacional,Corrupción de menores,219
2015-07-01,Nacional,Corrupción de menores,184
2015-08-01,Nacional,Corrupción de menores,157
2015-09-01,Nacional,Corrupción de menores,187
2015-10-01,Nacional,Corrupción de menores,248
2015-11-01,Nacional,Corrupción de menores,157
2015-12-01,Nacional,Corrupción de menores,132
2015-01-01,Nacional,Trata de personas,130
2015-02-01,Nacional,Trata de personas,76
2015-03-01,Nacional,Trata de personas,122
2015-04-01,Nacional,Trata de personas,82
2015-05-01,Nacional,Trata de personas,66
2015-06-01,Nacional,Trata de personas,64
2015-07-01,Nacional,Trata de personas,47
2015-08-01,Nacional,Trata de personas,309
2015-09-01,Nacional,Trata de personas,28
2015-10-01,Nacional,Trata de personas,131
2015-11-01,Nacional,Trata de personas,72
2015-12-01,Nacional,Trata de personas,44
2015-01-01,Nacional,Otros delitos contra la sociedad,307
2015-02-01,Nacional,Otros delitos contra la sociedad,263
2015-03-01,Nacional,Otros delitos contra la sociedad,282
2015-04-01,Nacional,Otros delitos contra la sociedad,244
2015-05-01,Nacional,Otros delitos contra la sociedad,259
2015-06-01,Nacional,Otros delitos contra la sociedad,217
2015-07-01,Nacional,Otros delitos contra la sociedad,140
2015-08-01,Nacional,Otros delitos contra la sociedad,183
2015-09-01,Nacional,Otros delitos contra la sociedad,193
2015-10-01,Nacional,Otros delitos contra la sociedad,238
2015-11-01,Nacional,Otros delitos contra la sociedad,197
2015-12-01,Nacional,Otros delitos contra la sociedad,153
2015-01-01,Nacional,Aborto,39
2015-02-01,Nacional,Aborto,56
2015-03-01,Nacional,Aborto,52
2015-04-01,Nacional,Aborto,55
2015-05-01,Nacional,Aborto,52
2015-06-01,Nacional,Aborto,47
2015-07-01,Nacional,Aborto,44
2015-08-01,Nacional,Aborto,52
2015-09-01,Nacional,Aborto,35
2015-10-01,Nacional,Aborto,45
2015-11-01,Nacional,Aborto,37
2015-12-01,Nacional,Aborto,35
2015-01-01,Aguascalientes,Homicidio doloso,7
2015-02-01,Aguascalientes,Homicidio doloso,1
2015-03-01,Aguascalientes,Homicidio doloso,4
2015-04-01,Aguascalientes,Homicidio doloso,4
2015-05-01,Aguascalientes,Homicidio doloso,4
2015-06-01,Aguascalientes,Homicidio doloso,4
2015-07-01,Aguascalientes,Homicidio doloso,3
2015-08-01,Aguascalientes,Homicidio doloso,3
2015-09-01,Aguascalientes,Homicidio doloso,4
2015-10-01,Aguascalientes,Homicidio doloso,2
2015-11-01,Aguascalientes,Homicidio doloso,3
2015-12-01,Aguascalientes,Homicidio doloso,2
2015-01-01,Aguascalientes,Homicidio culposo,17
2015-02-01,Aguascalientes,Homicidio culposo,22
2015-03-01,Aguascalientes,Homicidio culposo,13
2015-04-01,Aguascalientes,Homicidio culposo,18
2015-05-01,Aguascalientes,Homicidio culposo,14
2015-06-01,Aguascalientes,Homicidio culposo,12
2015-07-01,Aguascalientes,Homicidio culposo,16
2015-08-01,Aguascalientes,Homicidio culposo,12
2015-09-01,Aguascalientes,Homicidio culposo,24
2015-10-01,Aguascalientes,Homicidio culposo,17
2015-11-01,Aguascalientes,Homicidio culposo,7
2015-12-01,Aguascalientes,Homicidio culposo,16
2015-01-01,Aguascalientes,Lesiones dolosas,172
2015-02-01,Aguascalientes,Lesiones dolosas,194
2015-03-01,Aguascalientes,Lesiones dolosas,205
2015-04-01,Aguascalientes,Lesiones dolosas,227
2015-05-01,Aguascalientes,Lesiones dolosas,210
2015-06-01,Aguascalientes,Lesiones dolosas,216
2015-07-01,Aguascalientes,Lesiones dolosas,201
2015-08-01,Aguascalientes,Lesiones dolosas,235
2015-09-01,Aguascalientes,Lesiones dolosas,173
2015-10-01,Aguascalientes,Lesiones dolosas,169
2015-11-01,Aguascalientes,Lesiones dolosas,144
2015-12-01,Aguascalientes,Lesiones dolosas,143
2015-01-01,Aguascalientes,Lesiones culposas,56
2015-02-01,Aguascalientes,Lesiones culposas,44
2015-03-01,Aguascalientes,Lesiones culposas,87
2015-04-01,Aguascalientes,Lesiones culposas,113
2015-05-01,Aguascalientes,Lesiones culposas,107
2015-06-01,Aguascalientes,Lesiones culposas,114
2015-07-01,Aguascalientes,Lesiones culposas,108
2015-08-01,Aguascalientes,Lesiones culposas,99
2015-09-01,Aguascalientes,Lesiones culposas,107
2015-10-01,Aguascalientes,Lesiones culposas,114
2015-11-01,Aguascalientes,Lesiones culposas,96
2015-12-01,Aguascalientes,Lesiones culposas,95
2015-01-01,Aguascalientes,Feminicidio,0
2015-02-01,Aguascalientes,Feminicidio,0
2015-03-01,Aguascalientes,Feminicidio,0
2015-04-01,Aguascalientes,Feminicidio,0
2015-05-01,Aguascalientes,Feminicidio,0
2015-06-01,Aguascalientes,Feminicidio,0
2015-07-01,Aguascalientes,Feminicidio,0
2015-08-01,Aguascalientes,Feminicidio,0
2015-09-01,Aguascalientes,Feminicidio,0
2015-10-01,Aguascalientes,Feminicidio,0
2015-11-01,Aguascalientes,Feminicidio,0
2015-12-01,Aguascalientes,Feminicidio,0
2015-01-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,4
2015-02-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,9
2015-03-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,32
2015-04-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,25
2015-05-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-06-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-07-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-08-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-09-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-10-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-11-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-12-01,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-01-01,Aguascalientes,Secuestro,0
2015-02-01,Aguascalientes,Secuestro,0
2015-03-01,Aguascalientes,Secuestro,1
2015-04-01,Aguascalientes,Secuestro,1
2015-05-01,Aguascalientes,Secuestro,0
2015-06-01,Aguascalientes,Secuestro,0
2015-07-01,Aguascalientes,Secuestro,0
2015-08-01,Aguascalientes,Secuestro,1
2015-09-01,Aguascalientes,Secuestro,0
2015-10-01,Aguascalientes,Secuestro,1
2015-11-01,Aguascalientes,Secuestro,1
2015-12-01,Aguascalientes,Secuestro,0
2015-01-01,Aguascalientes,Tráfico de menores,0
2015-02-01,Aguascalientes,Tráfico de menores,0
2015-03-01,Aguascalientes,Tráfico de menores,0
2015-04-01,Aguascalientes,Tráfico de menores,0
2015-05-01,Aguascalientes,Tráfico de menores,0
2015-06-01,Aguascalientes,Tráfico de menores,0
2015-07-01,Aguascalientes,Tráfico de menores,0
2015-08-01,Aguascalientes,Tráfico de menores,0
2015-09-01,Aguascalientes,Tráfico de menores,0
2015-10-01,Aguascalientes,Tráfico de menores,0
2015-11-01,Aguascalientes,Tráfico de menores,0
2015-12-01,Aguascalientes,Tráfico de menores,0
2015-01-01,Aguascalientes,Rapto,0
2015-02-01,Aguascalientes,Rapto,0
2015-03-01,Aguascalientes,Rapto,0
2015-04-01,Aguascalientes,Rapto,0
2015-05-01,Aguascalientes,Rapto,0
2015-06-01,Aguascalientes,Rapto,0
2015-07-01,Aguascalientes,Rapto,0
2015-08-01,Aguascalientes,Rapto,0
2015-09-01,Aguascalientes,Rapto,0
2015-10-01,Aguascalientes,Rapto,0
2015-11-01,Aguascalientes,Rapto,0
2015-12-01,Aguascalientes,Rapto,0
2015-01-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,11
2015-02-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,12
2015-03-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,11
2015-04-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,13
2015-05-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,0
2015-06-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,6
2015-07-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,4
2015-08-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,0
2015-09-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,1
2015-10-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,0
2015-11-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,0
2015-12-01,Aguascalientes,Otros delitos que atentan contra la libertad personal,3
2015-01-01,Aguascalientes,Extorsión,2
2015-02-01,Aguascalientes,Extorsión,4
2015-03-01,Aguascalientes,Extorsión,1
2015-04-01,Aguascalientes,Extorsión,5
2015-05-01,Aguascalientes,Extorsión,8
2015-06-01,Aguascalientes,Extorsión,2
2015-07-01,Aguascalientes,Extorsión,1
2015-08-01,Aguascalientes,Extorsión,3
2015-09-01,Aguascalientes,Extorsión,2
2015-10-01,Aguascalientes,Extorsión,7
2015-11-01,Aguascalientes,Extorsión,5
2015-12-01,Aguascalientes,Extorsión,2
2015-01-01,Aguascalientes,Corrupción de menores,5
2015-02-01,Aguascalientes,Corrupción de menores,2
2015-03-01,Aguascalientes,Corrupción de menores,10
2015-04-01,Aguascalientes,Corrupción de menores,4
2015-05-01,Aguascalientes,Corrupción de menores,7
2015-06-01,Aguascalientes,Corrupción de menores,7
2015-07-01,Aguascalientes,Corrupción de menores,8
2015-08-01,Aguascalientes,Corrupción de menores,3
2015-09-01,Aguascalientes,Corrupción de menores,4
2015-10-01,Aguascalientes,Corrupción de menores,6
2015-11-01,Aguascalientes,Corrupción de menores,4
2015-12-01,Aguascalientes,Corrupción de menores,1
2015-01-01,Aguascalientes,Trata de personas,1
2015-02-01,Aguascalientes,Trata de personas,0
2015-03-01,Aguascalientes,Trata de personas,0
2015-04-01,Aguascalientes,Trata de personas,0
2015-05-01,Aguascalientes,Trata de personas,0
2015-06-01,Aguascalientes,Trata de personas,0
2015-07-01,Aguascalientes,Trata de personas,1
2015-08-01,Aguascalientes,Trata de personas,0
2015-09-01,Aguascalientes,Trata de personas,0
2015-10-01,Aguascalientes,Trata de personas,0
2015-11-01,Aguascalientes,Trata de personas,0
2015-12-01,Aguascalientes,Trata de personas,0
2015-01-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-02-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-03-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-04-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-05-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-06-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-07-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-08-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-09-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-10-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-11-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-12-01,Aguascalientes,Otros delitos contra la sociedad,0
2015-01-01,Aguascalientes,Aborto,0
2015-02-01,Aguascalientes,Aborto,3
2015-03-01,Aguascalientes,Aborto,1
2015-04-01,Aguascalientes,Aborto,0
2015-05-01,Aguascalientes,Aborto,0
2015-06-01,Aguascalientes,Aborto,0
2015-07-01,Aguascalientes,Aborto,0
2015-08-01,Aguascalientes,Aborto,0
2015-09-01,Aguascalientes,Aborto,0
2015-10-01,Aguascalientes,Aborto,0
2015-11-01,Aguascalientes,Aborto,1
2015-12-01,Aguascalientes,Aborto,0
2015-01-01,Baja California,Homicidio doloso,52
2015-02-01,Baja California,Homicidio doloso,59
2015-03-01,Baja California,Homicidio doloso,59
2015-04-01,Baja California,Homicidio doloso,67
2015-05-01,Baja California,Homicidio doloso,82
2015-06-01,Baja California,Homicidio doloso,83
2015-07-01,Baja California,Homicidio doloso,79
2015-08-01,Baja California,Homicidio doloso,89
2015-09-01,Baja California,Homicidio doloso,93
2015-10-01,Baja California,Homicidio doloso,78
2015-11-01,Baja California,Homicidio doloso,85
2015-12-01,Baja California,Homicidio doloso,73
2015-01-01,Baja California,Homicidio culposo,28
2015-02-01,Baja California,Homicidio culposo,28
2015-03-01,Baja California,Homicidio culposo,49
2015-04-01,Baja California,Homicidio culposo,37
2015-05-01,Baja California,Homicidio culposo,19
2015-06-01,Baja California,Homicidio culposo,31
2015-07-01,Baja California,Homicidio culposo,44
2015-08-01,Baja California,Homicidio culposo,40
2015-09-01,Baja California,Homicidio culposo,36
2015-10-01,Baja California,Homicidio culposo,46
2015-11-01,Baja California,Homicidio culposo,42
2015-12-01,Baja California,Homicidio culposo,39
2015-01-01,Baja California,Lesiones dolosas,850
2015-02-01,Baja California,Lesiones dolosas,870
2015-03-01,Baja California,Lesiones dolosas,1000
2015-04-01,Baja California,Lesiones dolosas,1011
2015-05-01,Baja California,Lesiones dolosas,1053
2015-06-01,Baja California,Lesiones dolosas,1170
2015-07-01,Baja California,Lesiones dolosas,1111
2015-08-01,Baja California,Lesiones dolosas,1121
2015-09-01,Baja California,Lesiones dolosas,1100
2015-10-01,Baja California,Lesiones dolosas,1040
2015-11-01,Baja California,Lesiones dolosas,825
2015-12-01,Baja California,Lesiones dolosas,823
2015-01-01,Baja California,Lesiones culposas,349
2015-02-01,Baja California,Lesiones culposas,348
2015-03-01,Baja California,Lesiones culposas,443
2015-04-01,Baja California,Lesiones culposas,342
2015-05-01,Baja California,Lesiones culposas,350
2015-06-01,Baja California,Lesiones culposas,310
2015-07-01,Baja California,Lesiones culposas,333
2015-08-01,Baja California,Lesiones culposas,338
2015-09-01,Baja California,Lesiones culposas,338
2015-10-01,Baja California,Lesiones culposas,354
2015-11-01,Baja California,Lesiones culposas,370
2015-12-01,Baja California,Lesiones culposas,402
2015-01-01,Baja California,Feminicidio,0
2015-02-01,Baja California,Feminicidio,0
2015-03-01,Baja California,Feminicidio,3
2015-04-01,Baja California,Feminicidio,2
2015-05-01,Baja California,Feminicidio,0
2015-06-01,Baja California,Feminicidio,1
2015-07-01,Baja California,Feminicidio,0
2015-08-01,Baja California,Feminicidio,2
2015-09-01,Baja California,Feminicidio,0
2015-10-01,Baja California,Feminicidio,1
2015-11-01,Baja California,Feminicidio,0
2015-12-01,Baja California,Feminicidio,1
2015-01-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,57
2015-02-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,52
2015-03-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,53
2015-04-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,60
2015-05-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-06-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-07-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-08-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-09-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-10-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-11-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-12-01,Baja California,Otros delitos que atentan contra la vida y la integridad corporal,0
2015-01-01,Baja California,Secuestro,3
2015-02-01,Baja California,Secuestro,1
2015-03-01,Baja California,Secuestro,0
2015-04-01,Baja California,Secuestro,8
2015-05-01,Baja California,Secuestro,3
2015-06-01,Baja California,Secuestro,2
2015-07-01,Baja California,Secuestro,1
2015-08-01,Baja California,Secuestro,1
2015-09-01,Baja California,Secuestro,0
2015-10-01,Baja California,Secuestro,0
2015-11-01,Baja California,Secuestro,2
2015-12-01,Baja California,Secuestro,0
2015-01-01,Baja California,Tráfico de menores,1
2015-02-01,Baja California,Tráfico de menores,0
2015-03-01,Baja California,Tráfico de menores,1
2015-04-01,Baja California,Tráfico de menores,2
2015-05-01,Baja California,Tráfico de menores,0
2015-06-01,Baja California,Tráfico de menores,0
2015-07-01,Baja California,Tráfico de menores,1
2015-08-01,Baja California,Tráfico de menores,1
2015-09-01,Baja California,Tráfico de menores,0
2015-10-01,Baja California,Tráfico de menores,0
2015-11-01,Baja California,Tráfico de menores,0
2015-12-01,Baja California,Tráfico de menores,0
2015-01-01,Baja California,Rapto,0
2015-02-01,Baja California,Rapto,0
2015-03-01,Baja California,Rapto,0
2015-04-01,Baja California,Rapto,0
2015-05-01,Baja California,Rapto,0
2015-06-01,Baja California,Rapto,0
2015-07-01,Baja California,Rapto,0
2015-08-01,Baja California,Rapto,0
2015-09-01,Baja California,Rapto,0
2015-10-01,Baja California,Rapto,1
2015-11-01,Baja California,Rapto,0
2015-12-01,Baja California,Rapto,0
2015-01-01,Baja California,Otros delitos que atentan contra la libertad personal,45
2015-02-01,Baja California,Otros delitos que atentan contra la libertad personal,47
2015-03-01,Baja California,Otros delitos que atentan contra la libertad personal,55
2015-04-01,Baja California,Otros delitos que atentan contra la libertad personal,58
2015-05-01,Baja California,Otros delitos que atentan contra la libertad personal,87
2015-06-01,Baja California,Otros delitos que atentan contra la libertad personal,69
2015-07-01,Baja California,Otros delitos que atentan contra la libertad personal,75
2015-08-01,Baja California,Otros delitos que atentan contra la libertad personal,89
2015-09-01,Baja California,Otros delitos que atentan contra la libertad personal,77
2015-10-01,Baja California,Otros delitos que atentan contra la libertad personal,89
2015-11-01,Baja California,Otros delitos que atentan contra la libertad personal,75
2015-12-01,Baja California,Otros delitos que atentan contra la libertad personal,75
2015-01-01,Baja California,Extorsión,7
2015-02-01,Baja California,Extorsión,19
2015-03-01,Baja California,Extorsión,24
2015-04-01,Baja California,Extorsión,10
2015-05-01,Baja California,Extorsión,17
2015-06-01,Baja California,Extorsión,16
2015-07-01,Baja California,Extorsión,19
2015-08-01,Baja California,Extorsión,19
2015-09-01,Baja California,Extorsión,27
2015-10-01,Baja California,Extorsión,20
2015-11-01,Baja California,Extorsión,17
2015-12-01,Baja California,Extorsión,29
2015-01-01,Baja California,Corrupción de menores,32
2015-02-01,Baja California,Corrupción de menores,25
2015-03-01,Baja California,Corrupción de menores,36
2015-04-01,Baja California,Corrupción de menores,39
2015-05-01,Baja California,Corrupción de menores,37
2015-06-01,Baja California,Corrupción de menores,33
2015-07-01,Baja California,Corrupción de menores,19
2015-08-01,Baja California,Corrupción de menores,31
2015-09-01,Baja California,Corrupción de menores,38
2015-10-01,Baja California,Corrupción de menores,41
2015-11-01,Baja California,Corrupción de menores,10
2015-12-01,Baja California,Corrupción de menores,11
2015-01-01,Baja California,Trata de personas,2
2015-02-01,Baja California,Trata de personas,2
2015-03-01,Baja California,Trata de personas,1
2015-04-01,Baja California,Trata de personas,0
2015-05-01,Baja California,Trata de personas,7
2015-06-01,Baja California,Trata de personas,3
2015-07-01,Baja California,Trata de personas,3
2015-08-01,Baja California,Trata de personas,3
2015-09-01,Baja California,Trata de personas,0
2015-10-01,Baja California,Trata de personas,5
2015-11-01,Baja California,Trata de personas,4
2015-12-01,Baja California,Trata de personas,4
2015-01-01,Baja California,Otros delitos contra la sociedad,1
2015-02-01,Baja California,Otros delitos contra la sociedad,2
2015-03-01,Baja California,Otros delitos contra la sociedad,3
2015-04-01,Baja California,Otros delitos contra la sociedad,0
2015-05-01,Baja California,Otros delitos contra la sociedad,0
2015-06-01,Baja California,Otros delitos contra la sociedad,0
2015-07-01,Baja California,Otros delitos contra la sociedad,0
2015-08-01,Baja California,Otros delitos contra la sociedad,0
2015-09-01,Baja California,Otros delitos contra la sociedad,0
2015-10-01,Baja California,Otros delitos contra la sociedad,0
2015-11-01,Baja California,Otros delitos contra la sociedad,0
2015-12-01,Baja California,Otros delitos contra la sociedad,0
2015-01-01,Baja California,Aborto,1
2015-02-01,Baja California,Aborto,4
2015-03-01,Baja California,Aborto,4
2015-04-01,Baja California,Aborto,9
2015-05-01,Baja California,Aborto,10
2015-06-01,Baja California,Aborto,4
2015-07-01,Baja California,Aborto,1
2015-08-01,Baja California,Aborto,4
2015-09-01,Baja California,Aborto,1
2015-10-01,Baja California,Aborto,6
2015-11-01,Baja California,Aborto,4
2015-12-01,Baja California,Aborto,5
2015-01-01,Baja California Sur,Homicidio doloso,17
2015-02-01,Baja California Sur,Homicidio doloso,13
2015-03-01,Baja California Sur,Homicidio doloso,8
2015-04-01,Baja California Sur,Homicidio doloso,18
2015-05-01,Baja California Sur,Homicidio doloso,22
2015-06-01,Baja California Sur,Homicidio doloso,7
2015-07-01,Baja California Sur,Homicidio doloso,11
2015-08-01,Baja California Sur,Homicidio doloso,28
2015-09-01,Baja California Sur,Homicidio doloso,34
2015-10-01,Baja California Sur,Homicidio doloso,6
2015-11-01,Baja California Sur,Homicidio doloso,7
2015-12-01,Baja California Sur,Homicidio doloso,6
2015-01-01,Baja California Sur,Homicidio culposo,4
2015-02-01,Baja California Sur,Homicidio culposo,4
2015-03-01,Baja California Sur,Homicidio culposo,3
2015-04-01,Baja California Sur,Homicidio culposo,6
2015-05-01,Baja California Sur,Homicidio culposo,2
2015-06-01,Baja California Sur,Homicidio culposo,11
